"source_college","target_university","major","academic_year","required_uc_course_or_area","articulated_ccsf_course","notes","raw_agreement_url_or_id"
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 110A","MATH 51","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 52","MATH 110A","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 110B","MATH 52","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 53","MATH 110B","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 110C","MATH 53","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 54","MATH 110C","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 130","MATH 54","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYSICS 7A","MATH 125","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYC 4A","PHYSICS 7A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYC 4B","PHYSICS 7B","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIOLOGY 1B","BIO 100A","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 100B","BIOLOGY 1B","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHEM 1A","BIO 100B","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHEM 1B","CHEM 101A","6.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHEM 101B","CHEM 1B","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHEM 3A","CHEM 101B","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHEM 3B","CHEM 212A","6.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MCELLBI 32","CHEM 212B","6.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 111","MCELLBI 32L","2.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYSICS 7C","BIO 111","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYC 4C","PHYSICS 7C","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","COMPSCI 61A","ENGN 10B","2.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 41A","AFRICAM 5A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","AFRICAM 5B","HIST 41A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 41B","AFRICAM 5B","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 41A","AFRICAM 5A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","AFRICAM 5B","HIST 41A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 41B","AFRICAM 5B","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 2","ANTHRO 2","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASAMST 20A","ANTH 2","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASAM 20","ASAMST 20A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 21","CHICANO 50","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHICANO 70","HIST 21","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENVS 31","ESPM 15","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","GEOG 7","GEOG 20","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 17A","HISTORY 7A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HISTORY 7B","HIST 17A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 17B","HISTORY 7B","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MEDIAST 10","HIST 17B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","SOC 1","SOCIOL 1","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","SOCIOL 5","SOC 1","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","GNBS 119","UGBA 10X","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 110A","MATH 51","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 52","MATH 110A","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 110B","MATH 52","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 53","MATH 110B","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 110C","MATH 53","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 54","MATH 110C","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 130","MATH 54","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYSICS 7A","MATH 125","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ECON 1","ECON 1","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ECON 1","ECON 1","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","GNBS 119","UGBA 10X","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","COMPSCI 61A","ENGN 10B","2.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 1","ANTHRO 1","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTHRO 2","ANTH 1","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 2","ANTHRO 2","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASAMST 20A","ANTH 2","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 3","ANTHRO 3","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ARCH 102","ARCH 11A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ARCH 11B","ARCH 29B","1.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ARCH 22A","ARCH 11B","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 100A","MATH 16A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 51","MATH 100A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 110A","MATH 51","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MATH 52","MATH 110A","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYC 4A","PHYSICS 7A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYC 2A","PHYSICS 8A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ARCH 31A","AFAM 55","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ARCH 31B","ARCH 31A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 101","ARCH 31B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 102","ART 101","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 103","ART 102","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 104","ART 103","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 105","ART 104","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 106","ART 105","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 107","ART 106","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 108","ART 107","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 109","ART 108","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 118","ART 109","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 123V","ART 118","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 123W","ART 123V","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 146A","ART 123W","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 170A","ART 146A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASIA 15","ART 170A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASIA 30","ASIA 15","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHIN 39","ASIA 30","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 18","CHIN 39","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 19","CINE 18","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 20A","CINE 19","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 20B","CINE 20A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 21","CINE 20B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 22","CINE 21","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 23A","CINE 22","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 23B","CINE 23A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CLAS 35","CINE 23B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","DANC 30","CLAS 35","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 30B","ENGL 30A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 35A","ENGL 30B","3.00 units",""
